Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score
35,Female,90000,Doctorate,Married,1,Owned,High
40,Male,142500,High School Diploma,Single,0,Owned,High
45,Female,115000,Bachelors Degree,Married,3,Owned,High
50,Male,162500,Masters Degree,Married,0,Owned,High
26,Female,50000,Associates Degree,Single,0,Rented,Average
31,Male,70000,Bachelors Degree,Single,0,Rented,Average
36,Female,95000,Masters Degree,Married,2,Owned,High
41,Male,120000,Doctorate,Single,0,Owned,High
46,Female,102500,High School Diploma,Married,1,Owned,High
51,Male,150000,Bachelors Degree,Married,0,Owned,High
27,Female,37500,High School Diploma,Single,0,Rented,Low
32,Male,57500,Associates Degree,Single,0,Rented,Average
37,Female,77500,Bachelors Degree,Married,2,Owned,High
42,Male,110000,Masters Degree,Single,0,Owned,High
47,Female,97500,Doctorate,Married,1,Owned,High
52,Male,137500,High School Diploma,Married,0,Owned,High
28,Female,32500,Associates Degree,Single,0,Rented,Low
33,Male,52500,High School Diploma,Single,0,Rented,Average
38,Female,67500,Bachelors Degree,Married,2,Owned,High
43,Male,95000,Masters Degree,Single,0,Owned,High
48,Female,87500,Doctorate,Married,1,Owned,High
53,Male,127500,Associates Degree,Married,0,Owned,High
29,Female,27500,High School Diploma,Single,0,Rented,Low
34,Male,47500,Associates Degree,Single,0,Rented,Average
39,Female,62500,Bachelors Degree,Married,2,Owned,High
44,Male,87500,Masters Degree,Single,0,Owned,High
49,Female,77500,Doctorate,Married,1,Owned,High
25,Female,57500,Bachelors Degree,Single,0,Rented,Average
30,Male,112500,Masters Degree,Married,2,Owned,High
35,Female,85000,Doctorate,Married,1,Owned,High
25,Female,60000,Bachelors Degree,Single,0,Rented,Average
30,Male,117500,Masters Degree,Married,2,Owned,High
35,Female,90000,Doctorate,Married,1,Owned,High
28,Male,75000,Bachelors Degree,Single,0,Rented,Average
33,Female,82000,Masters Degree,Married,1,Owned,High
31,Male,95000,Doctorate,Single,0,Rented,High
26,Female,55000,Bachelors Degree,Married,1,Owned,Average
32,Male,85000,Masters Degree,Single,0,Rented,High
29,Female,68000,Doctorate,Married,2,Owned,Average
34,Male,105000,Bachelors Degree,Married,1,Rented,High
25,Female,55000,Bachelors Degree,Single,0,Rented,Average
30,Male,105000,Masters Degree,Married,2,Owned,High
35,Female,80000,Doctorate,Married,1,Owned,High
40,Male,130000,High School Diploma,Single,0,Owned,High
45,Female,105000,Bachelors Degree,Married,3,Owned,High
50,Male,155000,Masters Degree,Married,0,Owned,High
26,Female,45000,Associates Degree,Single,0,Rented,Average
31,Male,65000,Bachelors Degree,Single,0,Rented,Average
36,Female,85000,Masters Degree,Married,2,Owned,High
41,Male,110000,Doctorate,Single,0,Owned,High
46,Female,95000,High School Diploma,Married,1,Owned,High
51,Male,140000,Bachelors Degree,Married,0,Owned,High
27,Female,37500,High School Diploma,Single,0,Rented,Low
32,Male,57500,Associates Degree,Single,0,Rented,Average
37,Female,72500,Bachelors Degree,Married,2,Owned,High
42,Male,100000,Masters Degree,Single,0,Owned,High
47,Female,90000,Doctorate,Married,1,Owned,High
52,Male,130000,High School Diploma,Married,0,Owned,High
28,Female,32500,Associates Degree,Single,0,Rented,Low
33,Male,52500,High School Diploma,Single,0,Rented,Average
38,Female,67500,Bachelors Degree,Married,2,Owned,High
43,Male,92500,Masters Degree,Single,0,Owned,High
48,Female,82500,Doctorate,Married,1,Owned,High
53,Male,122500,Associates Degree,Married,0,Owned,High
29,Female,27500,High School Diploma,Single,0,Rented,Low
34,Male,47500,Associates Degree,Single,0,Rented,Average
39,Female,62500,Bachelors Degree,Married,2,Owned,High
44,Male,87500,Masters Degree,Single,0,Owned,High
49,Female,77500,Doctorate,Married,1,Owned,High
